"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"Men in Black","1997","3.5","yes","65","2024-10-29","","",""
"Woman of the Hour","2023","2","","33","2024-10-28","","",""
"10 Cloverfield Lane","2016","2.5","yes","47","2024-10-20","","",""
"High and Low","1963","4","","74","2024-10-19","","",""
"Suspect Zero","2004","2.5","","46","2024-10-17","","",""
"From Beyond","1986","1.5","","30","2024-10-15","","",""
"The Substance","2024","3","","55","2024-10-12","","",""
"The Empty Man","2020","3.5","","63","2024-10-08","","",""
"Stir of Echoes","1999","2.5","","45","2024-10-07","","",""
"Dead of Night","1974","2.5","","46","2024-10-06","","",""
"Zero Effect","1998","3","","55","2024-10-05","","",""
"Speak No Evil","2024","2.5","","43","2024-10-04","","",""
"Speak No Evil","2022","2","","32","2024-10-04","","",""
"Strange Darling","2023","3.5","","61","2024-10-03","","",""
"Deadpool & Wolverine","2024","1","","20","2024-10-02","","",""
"Light Sleeper","1992","3.5","","68","2024-09-29","","",""
"The Howling","1981","2.5","","42","2024-09-29","","",""
"Kinds of Kindness","2024","2.5","","45","2024-09-28","","",""
"Hi, Mom!","1970","3","","51","2024-09-25","","",""
"Sisters","1972","3","","52","2024-09-25","","",""
"Revenge","2017","2","","39","2024-09-24","","",""
"Rebel Ridge","2024","3","","57","2024-09-23","","",""
"Mars Express","2023","2.5","","49","2024-09-22","","",""
"Sector 36","2024","2.5","","41","2024-09-20","","",""
"Hardcore","1979","3","","58","2024-09-17","","",""
"Gran Torino","2008","2.5","","50","2024-09-16","","",""
"The Bridge on the River Kwai","1957","4","","73","2024-09-14","","",""
"Love Lies Bleeding","2024","2","","38","2024-09-10","","",""
"The Searchers","1956","3.5","","62","2024-09-09","","",""
"The Stoneman Murders","2009","1.5","","29","2024-09-06","","",""
"Aavishkar","1974","3.5","","63","2024-09-05","","",""
"Maharaja","2024","2.5","","42","2024-09-03","","",""
"Short Cuts","1993","3.5","","67","2024-08-31","","",""
"Longlegs","2024","2","","36","2024-08-24","","",""
"Angry Young Men","2024","","","","2024-08-23","","",""
"Swades","2004","3.5","yes","69","2024-08-22","70","",""
"Parmanu: The Story of Pokhran","2018","1","","18","2024-08-21","","",""
"1942: A Love Story","1994","2","","40","2024-08-20","","",""
"Don't Cry for Salim the Lame","1989","3","","59","2024-08-19","","",""
"Taxi No. 9211","2006","1.5","","27","2024-08-19","","",""
"Virasat","1997","4","yes","75","2024-08-18","70","",""
"Stree 2","2024","2","","32","2024-08-17","","",""
"Virasat","1997","3.5","yes","70","2024-08-16","","",""
"The Outfit","1973","3.5","","62","2024-08-11","","",""
"Edmond","2005","3.5","","63","2024-08-10","","",""
"The Getaway","1972","3","","59","2024-08-07","","",""
"The Beguiled","1971","3.5","","61","2024-07-31","","",""
"Crash","2004","","","","2024-07-28","","",""
"Brain Damage","1988","3","","52","2024-07-26","","",""
"Kill","2023","2.5","","47","2024-07-24","","",""
"48 Hrs.","1982","2.5","","50","2024-07-21","","",""
"The Ninth Configuration","1980","3","","51","2024-07-21","","",""
"Roadgames","1981","3.5","","62","2024-07-20","","",""
"Darna Zaroori Hai","2006","","yes","","2024-07-19","","",""
"Darna Mana Hai","2003","","","","2024-07-18","","",""
"Furiosa: A Mad Max Saga","2024","3","","60","2024-07-16","","",""
"Crimson Tide","1995","3.5","","66","2024-07-12","","",""
"Wag the Dog","1997","3","","56","2024-07-07","","",""
"Rockstar","2011","2.5","yes","44","2024-06-29","","",""
"Madness in the Desert","2004","","","","2024-06-27","","",""
"Federer: Twelve Final Days","2024","","","","2024-06-23","","",""
"Inside Out 2","2024","2.5","","42","2024-06-22","","",""
"Aavesham","2024","","","","2024-06-21","","",""
"Meri Jung","1985","","yes","","2024-06-20","","",""
"Two Acres of Land","1953","3","","57","2024-06-14","","",""
"Hit Man","2023","3.5","","61","2024-06-09","","",""
"The Wonderful Story of Henry Sugar and Three More","2024","3.5","","68","2024-06-04","","",""
"Bullitt","1968","3.5","","64","2024-05-31","","",""
"Margin Call","2011","3","","58","2024-05-30","","",""
"Joe","1970","2.5","","49","2024-05-29","","",""
"Civil War","2024","2.5","","47","2024-05-27","","",""
"Navalny","2022","2.5","","","2024-05-26","","",""
"THX 1138","1971","2.5","","","2024-05-18","","",""
"Challengers","2024","3.5","","64","2024-05-17","","",""
"Straight Time","1978","4","","72","2024-05-12","","",""
"Godzilla Minus One","2023","2.5","","48","2024-05-06","","",""
"Monkey Man","2024","2.5","","41","2024-05-05","","",""
"Late Night with the Devil","2023","3","","56","2024-04-28","","",""
"Hellboy II: The Golden Army","2008","2.5","","48","2024-04-26","","",""
"Hellboy","2004","2.5","","45","2024-04-20","","",""
"Bade Miyan Chote Miyan","2024","","","","2024-04-12","","",""
"Pacific Rim","2013","2.5","","49","2024-04-09","","",""
"Dune: Part Two","2024","3","","59","2024-04-06","","",""
"Swatantrya Veer Savarkar","2024","","","","2024-04-06","","",""
"Dune","2021","3","yes","56","2024-04-06","54","",""
"Kiss Kiss Bang Bang","2005","2.5","yes","50","2024-04-04","50","",""
"Children of a Lesser God","1986","2.5","","46","2024-03-31","","",""
"Kung Fu Panda","2008","3.5","yes","66","2024-03-20","","",""
"Sea of Love","1989","3.5","","65","2024-03-18","","",""
"Kung Fu Panda 3","2016","2.5","yes","43","2024-03-17","","",""
"Kung Fu Panda 4","2024","2.5","","44","2024-03-16","","",""
"Predator","1987","3","yes","60","2024-03-13","60","",""
"The Iron Claw","2023","3","","56","2024-03-11","","",""
"Chungking Express","1994","3.5","yes","62","2024-03-09","","",""
"The Invisible Man","1933","2.5","","41","2024-03-04","","",""
"All of Us Strangers","2023","3.5","","64","2024-03-01","","",""
"Poor Things","2023","3.5","","66","2024-02-28","","",""
"Bramayugam","2024","3","","57","2024-02-25","","",""
"The Teachers’ Lounge","2023","3","","58","2024-02-24","","",""
"Red Rooms","2023","","","","2024-02-23","","",""
"BEEF","2023","3.5","","","2024-02-17","","",""
"The Cable Guy","1996","","","","2024-02-13","","",""
"Monster","2023","2.5","","49","2024-02-10","","",""
"Anatomy of a Fall","2023","3.5","yes","70","2024-02-09","70","",""
"American Fiction","2023","3","","58","2024-02-08","","",""
"Natural Born Killers","1994","2","","37","2024-02-06","","",""
"Ankhon Dekhi","2013","2","","38","2024-02-03","","",""
"The Pursuit of Happyness","2006","3","yes","57","2024-02-02","63","",""
"Repo Man","1984","2.5","","43","2024-02-01","","",""
"Chronicle","2012","2.5","","48","2024-01-31","","",""
"Perfume: The Story of a Murderer","2006","4","","71","2024-01-30","","",""
"Witness","1985","3","","53","2024-01-29","","",""
"Miller’s Crossing","1990","3.5","","70","2024-01-26","","",""
"Dog Soldiers","2002","2","","31","2024-01-24","","",""
"Closer","2004","3.5","","69","2024-01-21","","",""
"Up in the Air","2009","2.5","","42","2024-01-19","","",""
"Run","2020","2.5","","48","2024-01-18","","",""
"The Fisher King","1991","4","","71","2024-01-15","","",""
"Children of Heaven","1997","3","","59","2024-01-14","","",""
"Heavenly Puss","1949","","","","2024-01-13","","",""
"Society of the Snow","2023","2.5","","47","2024-01-13","","",""
"The Cat Concerto","1947","","","","2024-01-13","","",""
"Rejected","2000","","","","2024-01-13","","",""
"Duck Amuck","1953","","","","2024-01-13","","",""
"Leave the World Behind","2023","3","","51","2024-01-10","","",""
"The Squid and the Whale","2005","3.5","","68","2024-01-07","","",""
"BlackBerry","2023","3","","54","2024-01-07","","",""
"When Evil Lurks","2023","","","","2024-01-06","","",""
"Anatomy of a Fall","2023","3.5","","70","2024-01-01","","",""
"The Holdovers","2023","3","","60","2023-12-31","","",""
"World War Z","2013","2.5","yes","41","2023-12-30","","",""
"As Good as It Gets","1997","2.5","","49","2023-12-30","","",""
"Kho Gaye Hum Kahan","2023","2","","39","2023-12-29","","",""
"Beauty and the Beast","1978","4","yes","73","2023-12-27","","",""
"Beauty and the Beast","1978","","","","2023-12-26","","",""
"The Shop Around the Corner","1940","3.5","","61","2023-12-25","","",""
"Harakiri","1962","4","","74","2023-12-24","","",""
"Shin Godzilla","2016","2.5","","41","2023-12-24","","",""
"The Woodsman","2004","","","","2023-12-23","","",""
"Bad Trip","2021","","","","2023-12-21","","",""
"The Birdcage","1996","4","","72","2023-12-17","","",""
"Love & Other Drugs","2010","1.5","","30","2023-12-17","","",""
